card,template,metric_key,display_name,raw_fields,primary_source,source_type,source_url,secondary_source,frequency,lookback,computation,missing_action,higher_is_better
Performance,A/B/C,return_1y,1-Year Price Return (%),CLOSE_PRICE on T and T-252,NSE UDiFF CM Bhavcopy (daily ZIP),Official Downloadable Archive,https://archives.nseindia.com/content/historical/EQUITIES/{YYYY}/{MMM}/cm{DD}{MMM}{YYYY}bhav.csv.zip,yfinance (Yahoo Finance redistribution) — fallback only,Daily,252 trading days,(Close_T / Close_T-252) - 1,Mark metric None if < 252 days of history → stock excluded at eligibility gate,True
Performance,A/B/C,return_6m,6-Month Price Return (%),CLOSE_PRICE on T and T-126,NSE UDiFF CM Bhavcopy (daily ZIP),Official Downloadable Archive,https://archives.nseindia.com/content/historical/EQUITIES/...,yfinance fallback,Daily,126 trading days,(Close_T / Close_T-126) - 1,"None if < 126 days → sub-metric missing, weight redistributed",True
Performance,A/B/C,cagr_5y,5-Year Price CAGR (%),CLOSE_PRICE on T and T-1260,NSE Security-wise Price Volume Archive (manual download per symbol),Official Downloadable Archive,https://www.nseindia.com/report-detail/eq_security,yfinance fallback,Daily (computed weekly),5 years (~1260 trading days),(Close_T / Close_T-1260)^(1/5) - 1,None if listing < 5 years; score from remaining sub-metrics,True
Performance,A/B/C,peer_price_strength,Peer-Relative Price Strength (percentile rank of 1Y return vs. peer group),return_1y of stock vs. all peer group members,Derived from Bhavcopy price history (computed internally),Computed,—,—,Daily,252 trading days,Rank of stock's 1Y return within peer group / (n_peers+1) × 100,None if return_1y is None,True
Performance,A/B/C,drawdown_recovery,Drawdown Recovery Score (% recovered from 52-week low),"52W_HIGH, 52W_LOW, CLOSE_PRICE",NSE UDiFF CM Bhavcopy (daily ZIP),Official Downloadable Archive,https://archives.nseindia.com/content/historical/EQUITIES/...,yfinance fallback,Daily,252 trading days,(Close - 52W_Low) / (52W_High - 52W_Low) × 100,None if 52W range is zero (new listing or circuit-locked),True
Performance,A/B/C,forward_view,1Y Forward EPS/Revenue Consensus View (analyst estimate growth %),"FWD_EPS_CONSENSUS, FWD_REV_CONSENSUS",Trendlyne Premium API — forward estimates field,Licensed Third-Party Vendor,https://trendlyne.com/developers/,Tickertape Pro (manual export CSV) — fallback for small-caps,As published (roughly quarterly after results),Next 12 months,Average of FY+1 EPS growth % and FY+1 Revenue growth % estimates,None for stocks with no analyst coverage (common in small/micro-cap); weight redistributed,True
Valuation,A,pe_percentile,PE Ratio (TTM),"CLOSE_PRICE, EPS_TTM",Price: NSE Bhavcopy. EPS_TTM: NSE/BSE XBRL Quarterly Results,Official Archive + Official Filing,https://www.nseindia.com/companies-listing/corporate-filings-financial-results,Screener.in export CSV (manual) for EPS TTM,Price: daily. EPS: quarterly refresh (post results),Trailing 12 months EPS,Close / EPS_TTM; then invert for percentile (lower PE = higher score),None if EPS_TTM ≤ 0 (loss-making); card weight redistributed,False
Valuation,A,pb_percentile,Price-to-Book Ratio (latest quarter),"CLOSE_PRICE, BOOK_VALUE_PER_SHARE",Price: NSE Bhavcopy. BV: BSE XBRL balance sheet filings,Official Archive + Official Filing,https://www.bseindia.com/corporates/Comp_Resultsnew.aspx,Screener.in export CSV,Price: daily. BV: quarterly,Latest reported quarter,Close / (Net Worth / Shares Outstanding); inverted for score,None if net worth negative (distressed),False
Valuation,A,p_cfo_percentile,Price-to-CFO Ratio (TTM),"CLOSE_PRICE, MARKET_CAP, CFO_TTM",CFO: BSE/NSE XBRL Cash Flow Statement (quarterly),Official Filing,https://www.nseindia.com/companies-listing/corporate-filings-financial-results,Screener.in export,Quarterly,TTM (sum of last 4 quarters),Market Cap / CFO_TTM; inverted for score,None if CFO ≤ 0,False
Valuation,A,ev_ebitda_percentile,EV/EBITDA Ratio (TTM),"MARKET_CAP, TOTAL_DEBT, CASH, EBITDA_TTM",Market cap: NSE Bhavcopy × shares. Debt/Cash/EBITDA: XBRL filings,Official Archive + Official Filing,https://www.nseindia.com/companies-listing/corporate-filings-financial-results,Screener.in export,Quarterly,TTM,(Market Cap + Total Debt - Cash) / EBITDA_TTM; inverted for score,None if EBITDA ≤ 0,False
